contact_id,contact_name,contact_selectable
46b4d8ab-866d-4984-9e10-3b72da0e966d,Beaumont Tiles,1
7ac4a0dd-7bcf-44f5-8f47-90c9f1c39da5,Wet-Seal,1
db66df87-d2b0-45bc-8c72-f8f408c3612a,Jacob Briggs Project Management,1
4be98a53-da6e-4cfc-96b3-7d5b0ea6ed56,Singleton Reinforcement,1
1ca3e78b-4a87-4b44-bbab-a40cf875b522,J.J. Richards,1
18d45bb7-2b49-4e0f-ad18-37b249882977,Singleton Bulk Landscaping Supplies,1
8263cece-8cd4-4266-9d9e-7b6acc22d3ee,Corner Takeaway Singleton,1
9a73f585-eb7e-4078-902c-9037836aa6f2,Moore Civil,1
97885c75-50a6-4bc9-9588-1edcd58ae71e,Eastern Cladding,1
ad179d61-ee54-46ef-973d-d48b6991405e,Fire Extinguisher Shop,1
2e567a75-418b-4ae1-9db6-a8a611c04df9,JDS Bricklaying,1
b77522ed-2aac-405e-8ca3-906f62aa9fe0,NBNCo Limited,1
d5c0600b-264b-4578-81c9-0071066da212,Access Hire,1
ead8db87-4e87-47c5-a901-d832be0e90fe,Barnson,1
fa13fd30-73da-4cbe-9e12-6454fdcdb42b,Budget Toilet Hire,1
db0a4fc4-3663-451b-80fc-5960bced2a24,BCD Restoration Excavation,1
9366e5d4-299c-44af-b020-6c3384cbb4c2,Dean's Turf Supplies,1
71f44ed2-8b81-4242-83a7-73203a6c3997,Coast N Country Constructions,1
95075dca-1572-4a36-a44c-2a9aeaeffd79,Skelton Valuers,1
9dadc127-912c-41a5-9ce6-6d3b9dd0d61d,RHS Steel Supplies,1
feef5206-2912-47b5-b4ef-d3ec0759e93a,Hunter Valley Landscape Supplies,1
a8633690-abb7-4027-b021-a62fd3159f8d,Interfy,1
2c7c9852-3bf4-4d76-ba74-efa22537d68c,Yara Law,1
ae1e14e5-cf98-4959-8dc7-e75b96700e21,Amarcon Group,1
3ad71076-d1db-4f4d-b17b-0dc6c97a0db7,Enter Vietnam,1
de1ca1cd-bd71-4d0a-8889-4fa91e67c327,Mason Build Pty Ltd,1
82e269e5-6fe8-4415-b02e-791051620565,The Trustee for 65 Spitfire Place Trust,1
a8c51537-e9bd-4fe7-8337-b4a642eb6f70,Teasco Facades,1
5ac78ad0-4c30-41a5-a60a-2dc3d3800a8f,Advenser,1
28cc4bd0-64d4-4eb7-becd-3c747a5cc8c6,Next Level Electrical Pty Ltd,1
4311c256-40e7-4e9b-b577-dea759c75dc2,Cultured Group (Aus),1
da780861-8ff2-45f9-8886-1c245f196a34,JB Hi Fi,1
88081b88-60a5-460d-a884-a773cfbd33ad,Windows Doors,1
e58434ad-d9e7-44e3-b482-c163d9f2420c,41 Accolade Avenue Pty Ltd atf 41 Accolade Avenue Trust,1
86bcfde7-f0a1-4dcb-816f-3f1c9fb7b84b,INSURANCE INVESTMENT SOLUTIONS PTY LTD,1
e7158d2e-4deb-46ec-a4a5-bd206f591504,"INSURANCE INVESTMENT SOLUTIONS PTY LTD ABN 94 604 594 345 PO Box 56, Bowral NSW 2576 AUSTRALIA",1
54a2470a-7c37-4008-90af-9d172888f7f0,AGL Energy Ltd,1
6af1a911-8c5c-494f-a861-95f0e41c56cd,The Bronte,1
2b2efc4d-a038-4876-980d-49d01f1b2580,Taizhou Huangyan Plastic Factory,1
79e70ba7-8a39-4448-b6af-885e7bb2c962,NAB,1
2309540f-7e94-4f48-932d-8474a06f924a,Metroll Pty Ltd,1
54ed101f-aa9d-4963-8ece-05606ec8e8d7,Greenleaf Workx,1
2d81983a-7a84-477d-be6b-5f41e91963a1,Murphys Plumbing,1
b3229921-0450-477e-8f94-ce3f412ef816,Earthbolt,1
7f61828b-74e8-466a-bfad-90235f998255,Mineral Paints Australia,1
